Hieroglyph,"Gardiner Unicode",Description,Ideogram,Phonogram,Notes
"𓃇","D65 U+130C7","Sidelock of hair","Sidelock ( ḥnsqty )","",""
"𓃈","D66 U+130C8","arm with reed pen","Inscribe ( spẖr )","",""
"𓃉","D67 U+130C9","one dot","","",""
"𓃊","D67A U+130CA","two dots","","",""
"𓃋","D67B U+130CB","three dots","","",""
"𓃌","D67C U+130CC","four dots","","",""
"𓃍","D67D U+130CD","five dots","","",""
"𓃎","D67E U+130CE","six dots","","",""
"𓃏","D67F U+130CF","seven dots","","",""
"𓃐","D67G U+130D0","eight dots","","",""
"𓃑","D67H U+130D1","nine dots","","",""
"​",E,"",Mammals,"",""
"𓃒","E1 U+130D2",bull,"Bull ( kꜣ )","",""
"𓃓","E2 U+130D3","bull charging","Bull ( kꜣ )","",""
"𓃔","E3 U+130D4",calf,"Calf ( bḥs )","",""
"𓃕","E4 U+130D5","sacred cow","Hesat ( ḥsꜣt )","",""
"𓃖","E5 U+130D6","cow suckling calf","Be friendly ( ꜣms )","",""
"𓃗","E6 U+130D7",horse,"Horse ( ssmt, jbr )","",""
"𓃘","E7 U+130D8",donkey,"Donkey ( ꜥꜣ )","",""
"𓃙","E8 U+130D9",kid,"Kid (goat) ( jb )",jb,""
"𓃚","E8A U+130DA","kid jumping","Kid (goat) ( jb )",jb,""
"𓃛","E9 U+130DB","newborn hartebeest","",jw,"Determinative for newborn animals , etc."
"𓃜","E9A U+130DC","mature bovine lying down","Be friendly ( ꜣms ) Cow ( jḥ ) Lady ( nbt ) (Ptolemaic)","",""
"𓃝","E10 U+130DD",ram,"Ba-Soul ( bꜣ ) Khnum ( ẖnmw )","",""
"𓃞","E11 U+130DE",ram,"Ba-Soul ( bꜣ ) Khnum ( ẖnmw )","",""
"𓃟","E12 U+130DF",pig,"Pig ( rrj )","",""
"𓃠","E13 U+130E0",cat,"Cat ( mjw ) When ( ḫft-ḥr ) (Ptolemaic)",mj,"Determinative for cat, as well as for the onomatopoeic Egyptian miu ( meow )"
"𓃡","E14 U+130E1",dog,"Dog ( ṯsm )","",""
"𓃢","E15 U+130E2","lying canine","Anubis ( jnpw ) He Who is Privy to Secrets (A priestly title) ( ḥrj-sštꜣ )","",""
"𓃣","E16 U+130E3","lying canine on shrine","Anubis ( jnpw ) He Who is Privy to Secrets (A priestly title) ( ḥrj-sštꜣ )","",""
"𓃤","E16A U+130E4","lying canine on shrine with flagellum","Anubis ( jnpw )","",""
"𓃥","E17 U+130E5",jackal,"jackal, ( sꜣb ) dignitary, senior ( sꜣb ) come ( jw ) East ( ỉꜣbtt )","",""
"𓃦","E17A U+130E6","jackal looking back","","",""
"𓃧","E18 U+130E7","wolf on standard","Wepwawet ( wpj-wꜣwt )","",""
"𓃨","E19 U+130E8","wolf on standard with mace","Wepwawet ( wpj-wꜣwt )","",""
"𓃩","E20 U+130E9","Set-animal","Set ( stẖ, stš, swty )","",""
"𓃪","E20A U+130EA","Set-animal on basket","","",""
"𓃫","E21 U+130EB","lying Set-animal","Set ( stẖ, stš, swty ) storm ( nšnj )","",""
"𓃬","E22 U+130EC",lion,"lion ( mꜣj ) exclude ( šnꜥ )","",""
"𓃭","E23 U+130ED","lying lion","lion ( rw ) lord ( nb ) (Ptolemaic)","rw, r, later l",""
"𓃮","E24 U+130EE",panther,"leopard ( ꜣby )","",""
"𓃯","E25 U+130EF",hippopotamus,"Hippo ( db )",db,""
"𓃰","E26 U+130F0",elephant,"elephant ( ꜣbw, ꜣb, dnhr )","","1. Determinative in ꜣbw , elephant (ultimate source of English word ivory )"
"𓃱","E27 U+130F1",giraffe,"giraffe ( mmj, sr ) fortell ( sr )","",""
"𓃲","E28 U+130F2",oryx,"gazelle ( gḥs, mꜣ-ḥḏ )","",""
"𓃳","E28A U+130F3","oryx with irrigation system","Oryx, Ma-hedj ( mꜣ-ḥḏ )","","16th Nome of Upper Egypt (see NU16), Ma-hedj"
"𓃴","E29 U+130F4",gazelle,"gazelle ( gḥs )","",""
"𓃵","E30 U+130F5",ibex,"Ibex ( njꜣw )","",""
"𓃶","E31 U+130F6","goat with collar","Noble, rank, be noble ( sꜥḥ )","",""
"𓃷","E32 U+130F7",baboon,"baboon ( jꜥn, ky, qnd )","",""
"𓃸","E33 U+130F8",monkey,"monkey ( gjf, qnd )","",""
"𓃹","E34 U+130F9",hare,"Hare ( wn )",wn,"Biliteral wn in wn ‘open’, wn ‘to be, exist’"
"𓃺","E34A U+130FA","hare (low)","See E34","",""
"𓃻","E36 U+130FB",baboon,"Thoth ( ḏḥwty ) King ( nswt ) (Ptolemaic) beautiful, good ( nfr ) (Ptolemaic) scribe ( sẖꜣ ) (Ptolemaic) son ( sꜣ ) (Ptolemaic) speak ( ḏd ) (Ptolemaic)","","Used most commonly for various cryptographic values in Ptolemaic texts."
"𓃼","E37 U+130FC","baboon with receptacle and basket","water-clock (Clepsydra) ( šbt )","",""
"𓃽","E38 U+130FD","long-horned bull","Bull ( kꜣ )","",""
"​",F,"","Parts of mammals","",""
